,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
39,0.6732298374176026,0.007806751251524538,0.004587936401367188,0.0004886555773535435,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9884962835591244,0.9561028761554063,0.955761405434763,0.9188580124769101,0.9967914772048134,0.9632020109662035,0.0277135454099779,10,-0.04023915884884755,-0.08486490959271226,-0.08314636037060438,-0.11620184349265372,-0.022959855587524357,-0.06948242557846844,0.03354264779731782,10
43,0.5876597881317138,0.006379942638378486,0.004787826538085937,0.0003989459900777808,0.01,0.1,9,400,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 400}",0.9884962835591244,0.9561028761554063,0.955761405434763,0.9188580124769101,0.9967914771611607,0.9632020109574728,0.027713545399396272,12,-0.04023915884884755,-0.08486490959271226,-0.08314636037060438,-0.11620184349265372,-0.02295985574371179,-0.06948242560970594,0.03354264775399243,12
38,0.5382936954498291,0.007126794471061408,0.0045874595642089845,0.00048826626478982863,0.01,0.1,6,400,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 400}",0.9884962835591244,0.9561028761554063,0.955761405434763,0.9188580124769101,0.9967914771611607,0.9632020109574728,0.027713545399396272,12,-0.04023915884884755,-0.08486490959271226,-0.08314636037060438,-0.11620184349265372,-0.02295985574371179,-0.06948242560970594,0.03354264775399243,12
42,0.44133825302124025,0.004867366329666424,0.0043889045715332035,0.0004884414950071202,0.01,0.1,9,300,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.9884962835591244,0.9561028761554063,0.955761405434763,0.9188580124769101,0.9967914771175068,0.963202010948742,0.027713545388814372,14,-0.04023915884884755,-0.08486490959271226,-0.08314636037060438,-0.11620184349265372,-0.02295985589990316,-0.06948242564094421,0.03354264771066595,14
37,0.4035384178161621,0.0041643309941216105,0.00458831787109375,0.0004882857994895824,0.01,0.1,6,300,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300}",0.9884962835591244,0.9561028761554063,0.955761405434763,0.9188580124769101,0.9967914771175068,0.963202010948742,0.027713545388814372,14,-0.04023915884884755,-0.08486490959271226,-0.08314636037060438,-0.11620184349265372,-0.02295985589990316,-0.06948242564094421,0.03354264771066595,14
41,0.29486451148986814,0.001753034095924299,0.0043885231018066405,0.0004884610645930972,0.01,0.1,9,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9884962835591244,0.9561028761554063,0.955761405434763,0.9188580124769101,0.9967914770738517,0.9632020109400111,0.027713545378232177,16,-0.04023915884884755,-0.08486490959271226,-0.08314636037060438,-0.11620184349265372,-0.02295985605609846,-0.06948242567218327,0.03354264766733839,16
36,0.270491361618042,0.002414915139959573,0.004588174819946289,0.00048826631135738427,0.01,0.1,6,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9884962835591244,0.9561028761554063,0.955761405434763,0.9188580124769101,0.9967914770738517,0.9632020109400111,0.027713545378232177,16,-0.04023915884884755,-0.08486490959271226,-0.08314636037060438,-0.11620184349265372,-0.02295985605609846,-0.06948242567218327,0.03354264766733839,16
35,0.13843717575073242,0.0013231234865228624,0.004388427734375,0.0004883440543553797,0.01,0.1,6,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9884962478516237,0.9561023294394299,0.955760733570384,0.9188588633034109,0.9967915455147817,0.9632019439359262,0.027713347262612587,18,-0.04023922129991221,-0.08486543806534774,-0.083146991752164,-0.11620123426511278,-0.022959611176707993,-0.06948249931184894,0.03354263490931176,18
40,0.14870667457580566,0.0016541602941675683,0.004290390014648438,0.0003996839389047503,0.01,0.1,9,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.9884962478516237,0.9561023294394299,0.955760733570384,0.9188588633034109,0.9967915455147817,0.9632019439359262,0.027713347262612587,18,-0.04023922129991221,-0.08486543806534774,-0.083146991752164,-0.11620123426511278,-0.022959611176707993,-0.06948249931184894,0.03354263490931176,18
28,0.5292058944702148,0.006077615586999106,0.004888772964477539,0.00019645708278537226,0.01,0.01,9,400,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 400}",0.9891561746422323,0.9553836972174825,0.9553072813381858,0.9189808715719708,0.996453025332294,0.9630562100204332,0.02777806412986407,20,-0.03906798991786919,-0.0855572681894817,-0.0835720334591788,-0.11611383812114423,-0.02414046497837073,-0.06969031893320894,0.03350260121335375,20
