,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
22,0.885569429397583,0.004318950954998159,0.005983924865722657,1.9073486328124998e-07,0.01,0.01,6,300,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300}",0.4081494190072662,0.4713740111165996,0.42321781256518765,0.4259015084354577,0.4269156791298755,0.43111168605087735,0.02123857900591933,1,-0.250609473220471,-0.24087299495347506,-0.2534257217313782,-0.24613570164990206,-0.2505399050951425,-0.24831675933007377,0.004392426472747417,1
82,0.8912532329559326,0.012300703537206768,0.005984258651733398,6.975526255763909e-07,0.1,0.01,6,300,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300}",0.4064216357459054,0.4709375942896695,0.42462968525567524,0.42429227094144384,0.42558340855172727,0.43037291895688423,0.021503745142938634,2,-0.2509750074575109,-0.2409724029878572,-0.2531153583963267,-0.24648042788280355,-0.2508309557882717,-0.248474830502554,0.0043266793438831485,2
23,1.1483980655670165,0.009832440863812646,0.006582784652709961,0.0004887530489406031,0.01,0.01,6,400,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 400}",0.40814819867635943,0.46982317199783896,0.4198519518042839,0.42329409695038567,0.422397350754636,0.42870295403670083,0.02126371040690786,3,-0.25060973158494493,-0.24122606280849662,-0.25416408960835857,-0.24669401178069453,-0.2515256230728898,-0.24884390377107687,0.004500392874552942,3
83,1.1419858455657959,0.004890587850273215,0.006582307815551758,0.0004887529093770494,0.1,0.01,6,400,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 400}",0.4056581621255666,0.46983269633904945,0.42118494276857477,0.42252933804180903,0.4220590286739694,0.4282528335897939,0.021727774235328685,4,-0.25113636039297144,-0.24122389605060734,-0.25387192860573216,-0.24685752574729133,-0.25159927596807097,-0.24893779735293467,0.004474250827456359,4
84,1.375180196762085,0.013779904391520093,0.006782007217407226,0.0003983737001356738,0.1,0.01,6,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.4057520936759348,0.46865460700712225,0.42066278044176963,0.4196898576353322,0.4218893583678984,0.42732973942561153,0.02147441900793935,5,-0.2511165144404408,-0.24149176017595386,-0.25398641463359917,-0.24746369295978327,-0.2516362051663925,-0.24913891747523392,0.004357314682385609,5
21,0.5960506916046142,0.0011947428565622499,0.005386161804199219,0.000488772424627147,0.01,0.01,6,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.40510489067108146,0.46182115623685027,0.4231641848339166,0.4225274638637473,0.42159591318388734,0.42684272175789656,0.01873876337309248,6,-0.2512532243333131,-0.2430396706191571,-0.25343750289496736,-0.24685792633438106,-0.2517000615108638,-0.2492576771385365,0.0037905356449974646,6
81,0.5974306106567383,0.0038378214568027284,0.005784797668457031,0.0007464294614267052,0.1,0.01,6,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.4044901887050977,0.46116896585511524,0.42370070754845435,0.41989614807448994,0.42187862257703423,0.4262269265520383,0.01875526682790351,7,-0.2513830001308575,-0.24318688947081793,-0.2533196126685005,-0.2474197044717536,-0.251638541657832,-0.2493895496799523,0.003655967410275429,7
91,0.34479379653930664,0.0020334970266075603,0.004787635803222656,0.00039861254646695313,0.1,0.1,3,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.41610465133895524,0.4565324984404254,0.4219499422732679,0.4054939054059177,0.4257076228137011,0.42515772405445346,0.017109018731688692,8,-0.2489195185423613,-0.24423092080253736,-0.2537041063364147,-0.2504722198494373,-0.25080383395103034,-0.24962611989635622,0.0031093513042399377,8
92,0.5122521877288818,0.004349006424392568,0.004787588119506836,0.0003994230262585123,0.1,0.1,3,300,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.4161046503818797,0.4565325011807597,0.4219499445779006,0.40549390146840225,0.42570761262326406,0.4251577220464412,0.01710902059119936,9,-0.248919518746366,-0.24423092018679274,-0.25370410583066716,-0.25047222067889746,-0.2508038361762041,-0.2496261203237855,0.003109351589695639,9
93,0.6737296104431152,0.00517069477888668,0.004986763000488281,4.76837158203125e-07,0.1,0.1,3,400,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400}",0.4161046378483897,0.45653249353097725,0.42194993287033866,0.40549389800188196,0.42570760618097325,0.4251577136865121,0.017109020306368412,10,-0.24891952141793228,-0.2442309219056751,-0.25370410839987073,-0.2504722214091398,-0.25080383758293634,-0.24962612214311086,0.003109351691988221,10
